carrying_capacity,max_offspring,competition_coefficient,short_range_distance,long_range_distance,short_range_probability,emigration_probability,no_introduced_per_cell,Year,Species,LagSpecies,Mean Lag End,% Lag Species,% Lag Length of Years Assessed
10000,1000,1e-6,20000,100000,0.83,0,100,1000,10,1,236,10,23.6
10000,1000,1e-6,20000,100000,0.5,0,100,1000,10,1,236,10,23.6
10000,1000,1e-5,20000,100000,0.83,0,100,1000,10,0,NA,0,NA
10000,500,1e-6,20000,100000,0.83,0,100,1000,10,1,236,10,23.6
10000,1000,1e-6,10000,100000,0.83,0,100,1000,10,1,236,10,23.6
10000,1000,1e-6,20000,100000,0.83,0,200,1000,10,1,324,10,32.4
10000,1000,1e-6,20000,100000,0.83,0,600,1000,10,1,163,10,16.3
10000,1000,1e-6,20000,100000,0.83,0,1000,1000,10,2,279.5,20,27.95
10000,1000,1e-6,20000,100000,0.83,0,1500,1000,10,0,NA,0,NA
10000,1000,1e-6,20000,100000,0.83,0,2000,1000,10,1,304,10,30.4
10000,1000,1e-6,20000,100000,0.83,0,2000,1000,1000,11,248.72727272727272,1.1,24.87272727272727
10000,1000,1e-6,20000,100000,0.83,0,1000,1000,200,5,211.4,2.5,21.14
10000,1000,5e-6,20000,100000,0.83,0,1000,1000,200,2,235,1,23.5
10000,1000,5e-6,20000,100000,0.83,0.1,1500,1000,200,10,43.8,5,4.38
10000,1000,5e-6,20000,100000,0.83,0.2,1000,1000,200,19,36.26315789473684,9.5,3.626315789473684
10000,1000,5e-6,30000,100000,0.83,0.2,1000,1000,200,25,39.32,12.5,3.932
10000,1000,5e-6,60000,200000,0.83,0.2,1000,1000,200,16,62.4375,8,6.24375
10000,1000,5e-6,30000,120000,0.83,0.2,1000,1000,200,23,48.391304347826086,11.5,4.839130434782609
10000,1000,5e-6,30000,80000,0.83,0,1000,1000,200,2,235,1,23.5
10000,1000,5e-6,30000,80000,0.83,0.25,1000,1000,200,12,36.833333333333336,6,3.6833333333333336
10000,1000,1e-6,30000,100000,0.83,0,1000,1000,200,1,24,12.5,2.4
10000,1000,5e-6,30000,100000,0.7,0,1000,500,100,1,175,1,35
10000,1000,1.5e-6,30000,100000,0.7,0,1000,500,100,4,133.75,4,26.75
10000,1000,2.5e-6,20000,100000,0.7,0,1000,500,100,2,129,2,25.8
10000,1000,5e-7,20000,100000,0.7,0,1000,500,100,3,97.66666666666667,3,19.533333333333335
